Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Brady Anderson*\anderbr01,*897D,141,506,89,130,19,50,16,92,0.257,0.375,0.421,0.796
Brian Anderson#\anderbr02,1,35,69,4,13,0,4,0,1,0.188,0.194,0.232,0.426
Garret Anderson*\anderga01,*89D,159,647,92,185,35,117,7,24,0.286,0.307,0.519,0.827
Jimmy Anderson*\anderji02,1,27,50,5,7,0,1,0,0,0.14,0.14,0.16,0.3
Marlon Anderson*\anderma02,4,41,162,10,37,1,15,2,12,0.228,0.282,0.309,0.59
Matt Anderson\anderma01,1,6,0,0,0,0,0,0,0,,,,
Clayton Andrews\andrecl01,/1,2,3,0,0,0,0,0,0,0,0,0,0
Shane Andrews\andresh01,42858,66,192,25,44,14,39,1,27,0.229,0.329,0.474,0.803
Rick Ankiel*\ankieri01,1,33,68,8,17,2,9,0,4,0.25,0.292,0.382,0.674
Kevin Appier\appieke01,1,2,6,0,1,0,0,0,0,0.167,0.167,0.167,0.333
Danny Ardoin\ardoida01,2,15,32,4,4,1,5,0,8,0.125,0.3,0.25,0.55
Alex Arias\ariasal01,65/4,70,155,17,29,2,15,1,16,0.187,0.271,0.284,0.555
Tony Armas\armasto02,1,15,26,1,1,0,1,0,1,0.038,0.074,0.038,0.113
Jamie Arnold\arnolja01,1,13,9,0,1,0,0,0,0,0.111,0.2,0.222,0.422
Jamie Arnold\arnolja01,/1,1,0,0,0,0,0,0,0,,,,
Jamie Arnold\arnolja01,1,12,9,0,1,0,0,0,0,0.111,0.2,0.222,0.422
Rolando Arrojo\arrojro01,1,18,28,2,3,0,3,0,1,0.107,0.138,0.143,0.281
Rolando Arrojo\arrojro01,1,18,28,2,3,0,3,0,1,0.107,0.138,0.143,0.281
Bronson Arroyo\arroybr01,1,21,21,2,3,0,0,0,0,0.143,0.143,0.238,0.381
Andy Ashby\ashbyan01,1,31,61,2,9,0,6,0,2,0.148,0.175,0.148,0.322
Andy Ashby\ashbyan01,1,15,28,0,5,0,5,0,2,0.179,0.233,0.179,0.412
Andy Ashby\ashbyan01,1,16,33,2,4,0,1,0,0,0.121,0.121,0.121,0.242
Pedro Astacio\astacpe01,1,32,82,2,8,0,6,0,1,0.098,0.108,0.098,0.206
Rich Aurilia\aurilri01,*6,141,509,67,138,20,79,1,54,0.271,0.339,0.444,0.783
Brad Ausmus\ausmubr01,*2/345,150,523,75,139,7,51,11,69,0.266,0.357,0.365,0.722
Bruce Aven\avenbr01,79/8,81,168,20,42,7,29,2,8,0.25,0.284,0.44,0.725
Bruce Aven\avenbr01,97/8,72,148,18,37,5,25,2,5,0.25,0.275,0.426,0.7
Bruce Aven\avenbr01,/7,9,20,2,5,2,4,0,3,0.25,0.348,0.55,0.898
Manny Aybar\aybarma01,1,54,6,1,0,0,0,0,2,0,0.25,0,0.25
Manny Aybar\aybarma01,/1,1,0,0,0,0,0,0,0,,,,
Manny Aybar\aybarma01,1,32,6,1,0,0,0,0,2,0,0.25,0,0.25
Manny Aybar\aybarma01,1,21,0,0,0,0,0,0,0,,,,
Jeff Bagwell\bagweje01,*3/D,159,590,152,183,47,132,9,107,0.31,0.424,0.615,1.039
Harold Baines*\baineha01,D,96,283,26,72,11,39,0,36,0.254,0.338,0.417,0.754
Harold Baines*\baineha01,D,72,222,24,59,10,30,0,29,0.266,0.349,0.437,0.786
Harold Baines*\baineha01,D,24,61,2,13,1,9,0,7,0.213,0.294,0.344,0.638
Paul Bako*\bakopa01,42769,81,221,18,50,2,20,0,27,0.226,0.312,0.308,0.62
Paul Bako*\bakopa01,/2,1,2,0,0,0,0,0,0,0,0,0,0
Paul Bako*\bakopa01,2,56,161,10,39,0,14,0,22,0.242,0.335,0.292,0.627
Paul Bako*\bakopa01,42769,24,58,8,11,2,6,0,5,0.19,0.254,0.362,0.616
James Baldwin\baldwja01,1,2,4,0,0,0,0,0,0,0,0,0,0
Rod Barajas\barajro01,/2,5,13,1,3,1,3,0,0,0.231,0.231,0.462,0.692
Glen Barker#\barkegl01,35643,84,67,18,15,2,6,9,7,0.224,0.307,0.373,0.68
Kevin Barker*\barkeke01,3,40,100,14,22,2,9,1,20,0.22,0.352,0.33,0.682
John Barnes\barnejo01,/987,11,37,5,13,0,2,0,2,0.351,0.415,0.459,0.874
Michael Barrett\barremi01,52,89,271,28,58,1,22,0,23,0.214,0.277,0.288,0.565
Kimera Bartee#\barteki01,/78,11,4,2,0,0,0,1,0,0,0.2,0,0.2
Miguel Batista\batismi01,1,6,4,0,0,0,0,0,1,0,0.2,0,0.2
Miguel Batista\batismi01,/1,4,1,0,0,0,0,0,1,0,0.5,0,0.5
Miguel Batista\batismi01,1,2,3,0,0,0,0,0,0,0,0,0,0
Tony Batista\batisto01,*5,154,620,96,163,41,114,5,35,0.263,0.307,0.519,0.827
Justin Baughman\baughju01,/46D,16,22,4,5,0,0,3,1,0.227,0.261,0.318,0.579
Danny Bautista\bautida01,*978,131,351,54,100,11,59,6,25,0.285,0.333,0.476,0.809
Danny Bautista\bautida01,79/8,44,89,9,17,4,12,1,5,0.191,0.234,0.371,0.605
Danny Bautista\bautida01,98/7,87,262,45,83,7,47,5,20,0.317,0.366,0.511,0.877
Rich Becker*\beckeri01,987/D,115,285,59,69,8,39,2,67,0.242,0.384,0.375,0.759
Rich Becker*\beckeri01,8/7D9,23,47,11,11,1,5,1,11,0.234,0.39,0.34,0.73
Rich Becker*\beckeri01,987/D,92,238,48,58,7,34,1,56,0.244,0.383,0.382,0.765
Kevin Beirne*\beirnke01,1,3,0,0,0,0,0,0,0,,,,
Stan Belinda\belinst01,1,56,1,0,0,0,0,0,0,0,0,0,0
Stan Belinda\belinst01,1,46,1,0,0,0,0,0,0,0,0,0,0
Stan Belinda\belinst01,1,10,0,0,0,0,0,0,0,,,,
David Bell\bellda01,54/3D6,133,454,57,112,11,47,2,42,0.247,0.316,0.381,0.697
Derek Bell\bellde01,*9/81,144,546,87,145,18,69,8,65,0.266,0.348,0.425,0.773
Jay Bell\bellja01,*4/D,149,565,87,151,18,68,7,70,0.267,0.348,0.437,0.786
Mike Bell\bellmi02,5,19,27,5,6,2,4,0,4,0.222,0.323,0.444,0.767
Rob Bell\bellro01,1,26,45,1,3,0,0,0,1,0.067,0.087,0.089,0.176
Albert Belle\belleal01,*9D,141,559,71,157,23,103,0,52,0.281,0.342,0.474,0.817
Mark Bellhorn#\bellhma01,/456,9,13,2,2,0,0,0,2,0.154,0.267,0.154,0.421
Ronnie Belliard\belliro01,*4,152,571,83,150,8,54,7,82,0.263,0.354,0.389,0.743
Clay Bellinger\bellicl01,84573/69,98,184,33,38,6,21,5,17,0.207,0.288,0.37,0.658
Carlos Beltran#\beltrca01,8/D97,98,372,49,92,7,44,13,35,0.247,0.309,0.366,0.675
Rigo Beltran*\beltrri01,/1,1,0,0,0,0,0,0,0,,,,
Adrian Beltre\beltrad01,*5/6,138,510,71,148,20,85,12,56,0.29,0.36,0.475,0.835
Marvin Benard*\benarma01,*897,149,560,102,147,12,55,22,63,0.263,0.342,0.396,0.739
Alan Benes\benesal01,1,27,4,0,2,0,0,0,0,0.5,0.5,0.75,1.25
Andy Benes\benesan01,1,28,50,1,4,1,1,0,4,0.08,0.148,0.14,0.288
Armando Benitez\benitar01,1,71,0,0,0,0,0,0,0,,,,
Mike Benjamin\benjami01,564/3,93,233,28,63,2,19,5,12,0.27,0.313,0.391,0.704
Gary Bennett\bennega01,2,31,74,8,18,2,5,0,13,0.243,0.371,0.392,0.763
Kris Benson\bensokr01,1,30,65,3,6,0,1,0,4,0.092,0.157,0.123,0.28
Jason Bere\bereja01,1,19,39,3,8,0,2,0,0,0.205,0.205,0.256,0.462
Jason Bere\bereja01,1,19,39,3,8,0,2,0,0,0.205,0.205,0.256,0.462
Dave Berg\bergda01,654,82,210,23,53,1,21,3,25,0.252,0.34,0.343,0.683
Peter Bergeron*\bergepe01,*87,148,518,80,127,5,31,11,58,0.245,0.32,0.349,0.669
Sean Bergman\bergmse01,1,1,2,0,1,0,0,0,0,0.5,0.5,1,1.5
Lance Berkman#\berkmla01,97/3,114,353,76,105,21,67,6,56,0.297,0.388,0.561,0.949
Geronimo Berroa\berroge01,/739,24,31,2,8,0,5,0,4,0.258,0.343,0.323,0.665
Sean Berry\berryse01,5,33,50,1,7,1,2,0,4,0.14,0.204,0.24,0.444
Sean Berry\berryse01,/5,32,46,1,7,1,2,0,4,0.152,0.22,0.261,0.481
Sean Berry\berryse01,/5,1,4,0,0,0,0,0,0,0,0,0,0
Dante Bichette\bicheda01,*9D,155,575,80,169,23,90,5,49,0.294,0.35,0.477,0.826
Dante Bichette\bicheda01,*9,125,461,67,136,16,76,5,41,0.295,0.353,0.466,0.819
Dante Bichette\bicheda01,D,30,114,13,33,7,14,0,8,0.289,0.336,0.518,0.854
Craig Biggio\biggicr01,4,101,377,67,101,8,35,12,61,0.268,0.388,0.393,0.78
Willie Blair\blairwi01,1,4,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Casey Blake\blakeca01,/53D,7,16,1,3,0,1,0,3,0.188,0.333,0.313,0.646
Henry Blanco\blanche01,2,93,284,29,67,7,31,0,36,0.236,0.318,0.394,0.712
Matt Blank*\blankma01,1,13,1,0,0,0,0,0,0,0,0,0,0
Geoff Blum#\blumge01,5643,124,343,40,97,11,45,1,26,0.283,0.335,0.449,0.784
Hiram Bocachica\bocachi01,/4,8,10,2,3,0,0,0,0,0.3,0.3,0.3,0.6
Doug Bochtler\bochtdo01,/1,1,0,0,0,0,0,0,0,,,,
Brian Boehringer#\boehrbr01,/1,6,4,0,1,0,2,0,0,0.25,0.25,0.5,0.75
Tim Bogar\bogarti01,6/415,110,304,32,63,7,33,1,35,0.207,0.292,0.319,0.611
Brian Bohanon*\bohanbr01,1,33,53,6,11,2,11,0,2,0.208,0.232,0.377,0.61
Barry Bonds*\bondsba01,*7,143,480,129,147,49,106,11,117,0.306,0.44,0.688,1.127
Ricky Bones\bonesri01,1,52,2,1,0,0,1,0,1,0,0.25,0,0.25
Bobby Bonilla#\bonilbo01,7/5D9,114,239,23,61,5,28,0,37,0.255,0.356,0.397,0.754
Aaron Boone\booneaa01,42861,84,291,44,83,12,43,6,24,0.285,0.356,0.471,0.826
Bret Boone\boonebr01,*4,127,463,61,116,19,74,8,50,0.251,0.326,0.421,0.747
Pedro Borbon\borbope02,1,4,0,0,0,0,0,0,0,,,,
Mike Bordick\bordimi01,*6,156,583,88,166,20,80,9,49,0.285,0.341,0.443,0.783
Mike Bordick\bordimi01,6,100,391,70,116,16,59,6,34,0.297,0.35,0.481,0.831
Mike Bordick\bordimi01,6,56,192,18,50,4,21,3,15,0.26,0.321,0.365,0.685
Ricky Bottalico*\bottari01,1,3,0,0,0,0,0,0,0,,,,
Kent Bottenfield\botteke01,1,9,17,3,2,0,0,0,0,0.118,0.118,0.118,0.235
Kent Bottenfield\botteke01,1,1,3,1,2,0,0,0,0,0.667,0.667,0.667,1.333
Kent Bottenfield\botteke01,/1,8,14,2,0,0,0,0,0,0,0,0,0
Jason Boyd\boydja02,1,29,0,0,0,0,0,0,0,,,,
Milton Bradley#\bradlmi01,8,42,154,20,34,2,15,2,14,0.221,0.288,0.325,0.613
Darren Bragg*\braggda01,42925,71,149,16,33,3,21,4,17,0.221,0.296,0.342,0.638
Jeff Branson*\bransje01,/645,18,17,3,4,0,0,0,1,0.235,0.278,0.294,0.572
Jeff Brantley\brantje01,1,52,0,0,0,0,0,0,0,,,,
Russell Branyan*\branyru01,D79/5,67,193,32,46,16,38,0,22,0.238,0.327,0.544,0.871
Jamie Brewington\brewija01,1,3,1,1,0,0,0,0,1,0,0.5,0,0.5
Doug Brocail*\brocado01,1,3,0,0,0,0,0,0,0,,,,
Chris Brock\brockch01,1,58,9,1,2,1,2,0,0,0.222,0.222,0.667,0.889
Tarrik Brock*\brockta01,/78,13,12,1,2,0,0,1,4,0.167,0.375,0.167,0.542
Rico Brogna*\brognri01,3/D,81,185,20,43,2,21,1,10,0.232,0.278,0.357,0.635
Rico Brogna*\brognri01,3,38,129,12,32,1,13,1,7,0.248,0.295,0.38,0.675
Rico Brogna*\brognri01,3/D,43,56,8,11,1,8,0,3,0.196,0.237,0.304,0.541
Scott Brosius\brosisc01,*5/3D79,135,470,57,108,16,64,0,45,0.23,0.299,0.374,0.673
Jim Brower\broweji01,1,2,3,0,0,0,0,0,0,0,0,0,0
Adrian Brown#\brownad01,89/7,104,308,64,97,4,28,13,29,0.315,0.373,0.432,0.805
Brant Brown*\brownbr01,73/89,95,162,11,28,5,16,3,13,0.173,0.237,0.309,0.546
Brant Brown*\brownbr01,/739,41,73,4,14,2,6,1,3,0.192,0.224,0.356,0.58
Brant Brown*\brownbr01,7/839,54,89,7,14,3,10,2,10,0.157,0.248,0.27,0.517
Dee Brown*\brownde02,/7,15,25,4,4,0,4,0,3,0.16,0.25,0.2,0.45
Emil Brown\brownem01,978,50,119,13,26,3,16,3,11,0.218,0.299,0.336,0.635
Kevin Brown\brownke01,1,32,66,2,5,0,3,0,2,0.076,0.129,0.076,0.204
Kevin Brown\brownke04,/2,5,17,3,4,0,1,0,1,0.235,0.278,0.412,0.69
Roosevelt Brown*\brownro02,35977,45,91,11,32,3,14,0,4,0.352,0.378,0.538,0.916
Mark Brownson*\brownma04,/1,1,0,0,0,0,0,0,1,,1,,
Justin Brunette*\bruneju01,/1,4,1,0,1,0,0,0,0,1,1,1,2
Jim Bruske\bruskji01,1,15,1,0,0,0,0,0,0,0,0,0,0
Brian Buchanan\buchabr01,9/D7,30,82,10,19,1,8,0,8,0.232,0.301,0.305,0.606
Mike Buddie\buddimi01,/1,5,0,0,0,0,0,0,0,,,,
Damon Buford\buforda01,*8/97,150,495,64,124,15,48,4,47,0.251,0.324,0.39,0.714
Jay Buhner\buhneja01,9/D,112,364,50,92,26,82,0,59,0.253,0.361,0.522,0.883
Kirk Bullinger\bulliki01,/1,3,0,0,0,0,0,0,0,,,,
Dave Burba\burbada01,1,1,1,0,0,0,0,0,0,0,0,0,0
John Burkett\burkejo03,1,30,42,2,6,0,3,0,3,0.143,0.2,0.167,0.367
Morgan Burkhart#\burkhmo01,D/37,25,73,16,21,4,18,0,17,0.288,0.442,0.493,0.935
Ellis Burks\burksel01,9/D,122,393,74,135,24,96,5,56,0.344,0.419,0.606,1.025
A.J. Burnett\burnea.01,1,13,25,3,7,1,3,0,3,0.28,0.357,0.52,0.877
Jeromy Burnitz*\burnije01,*9/D,161,564,91,131,31,98,6,99,0.232,0.356,0.456,0.811
Pat Burrell\burrepa01,37/D,111,408,57,106,18,79,0,63,0.26,0.359,0.463,0.822
Homer Bush\bushho01,4,76,297,38,64,1,18,9,18,0.215,0.271,0.253,0.524
Paul Byrd\byrdpa01,1,16,20,2,3,0,0,0,1,0.15,0.227,0.15,0.377
Eric Byrnes\byrneer01,/9D7,10,10,5,3,0,0,2,0,0.3,0.364,0.3,0.664
Alex Cabrera\cabreal02,39/7,31,80,10,21,5,14,0,4,0.263,0.299,0.5,0.799
Jolbert Cabrera\cabrejo02,9874/6D,100,175,27,44,2,15,6,8,0.251,0.29,0.314,0.605
Jose Cabrera\cabrejo01,1,49,1,0,0,0,0,0,0,0,0,0,0
Orlando Cabrera\cabreor01,*6/4,125,422,47,100,13,55,4,25,0.237,0.279,0.393,0.673
Miguel Cairo\cairomi01,4/D,119,375,49,98,1,34,28,29,0.261,0.314,0.328,0.642
Mike Cameron\camermi01,*8/9,155,543,96,145,19,78,24,78,0.267,0.365,0.438,0.803
Ken Caminiti#\caminke01,5,59,208,42,63,15,45,3,42,0.303,0.419,0.582,1.001
Eric Cammack\cammaer01,/1,8,1,0,1,0,1,0,0,1,1,3,4
Jay Canizaro\canizja01,4/D,102,346,43,93,7,40,4,24,0.269,0.318,0.396,0.714
Jose Canseco\cansejo01,D/79,98,329,47,83,15,49,2,64,0.252,0.377,0.444,0.82
Jose Canseco\cansejo01,D,61,218,31,56,9,30,2,41,0.257,0.383,0.45,0.832
Jose Canseco\cansejo01,D/79,37,111,16,27,6,19,0,23,0.243,0.365,0.432,0.797
Javier Cardona\cardoja01,2,26,40,1,7,1,2,0,0,0.175,0.19,0.275,0.465
Buddy Carlyle*\carlybu01,/1,4,0,0,0,0,0,0,0,,,,
Bubba Carpenter*\carpebu01,/7D9,15,27,4,6,3,5,0,4,0.222,0.323,0.556,0.878
Chris Carpenter\carpech01,1,1,2,0,0,0,0,0,0,0,0,0,0
Giovanni Carrara\carragi01,/1,8,1,0,0,0,0,0,0,0,0,0,0
Hector Carrasco\carrahe01,1,3,0,0,0,0,0,0,0,,,,
Hector Carrasco\carrahe01,1,3,0,0,0,0,0,0,0,,,,
Raul Casanova#\casanra01,2/D,86,231,20,57,6,36,1,26,0.247,0.331,0.407,0.738
Sean Casey*\caseyse01,*3,133,480,69,151,20,85,1,52,0.315,0.385,0.517,0.902
Carlos Casimiro\casimca01,/D,2,8,0,1,0,3,0,0,0.125,0.125,0.25,0.375
Vinny Castilla\castivi02,5,85,331,22,73,6,42,1,14,0.221,0.254,0.308,0.562
Alberto Castillo\castial01,2,66,185,14,39,1,16,0,21,0.211,0.287,0.265,0.552
Frank Castillo\castifr01,1,2,7,0,1,0,0,0,0,0.143,0.143,0.143,0.286
Luis Castillo#\castilu01,*4,136,539,101,180,2,17,62,78,0.334,0.418,0.388,0.806
Juan Castro\castrju01,64/5,82,224,20,54,4,23,0,14,0.241,0.283,0.366,0.649
Ramon Castro\castrra01,2,50,138,10,33,2,14,0,16,0.239,0.318,0.312,0.63
Frank Catalanotto*\catalfr01,4D3/9,103,282,55,82,10,42,6,33,0.291,0.375,0.457,0.832
Roger Cedeno#\cedenro01,879,74,259,54,73,6,26,25,43,0.282,0.383,0.398,0.781
Frank Charles\charlfr01,/2,4,7,1,3,0,2,0,0,0.429,0.429,0.571,1
Norm Charlton#\charlno01,/1,2,0,0,0,0,0,0,0,,,,
Eric Chavez*\chaveer01,*5/6D,153,501,89,139,26,86,2,62,0.277,0.355,0.495,0.85
Raul Chavez\chavera01,2,14,43,3,11,1,5,0,3,0.256,0.298,0.372,0.67
Bruce Chen*\chenbr01,1,35,30,0,1,0,1,0,1,0.033,0.065,0.033,0.098
Bruce Chen*\chenbr01,1,21,5,0,0,0,0,0,0,0,0,0,0
Bruce Chen*\chenbr01,1,14,25,0,1,0,1,0,1,0.04,0.077,0.04,0.117
Randy Choate*\choatra01,1,1,0,0,0,0,0,0,0,,,,
Bobby Chouinard\chouibo01,1,31,3,1,1,0,0,0,0,0.333,0.333,0.333,0.667
McKay Christensen*\chrismc01,8,32,19,4,2,0,1,1,2,0.105,0.227,0.105,0.333
Ryan Christenson\chrisry01,*789,121,129,31,32,4,18,1,19,0.248,0.349,0.388,0.737
Jason Christiansen\chrisja01,1,62,0,0,0,0,0,0,0,,,,
Jason Christiansen\chrisja01,1,41,0,0,0,0,0,0,0,,,,
Jason Christiansen\chrisja01,1,21,0,0,0,0,0,0,0,,,,
Jeff Cirillo\cirilje01,*5,157,598,111,195,11,115,3,67,0.326,0.392,0.477,0.869
Chris Clapinski#\clapich01,4/576,34,49,12,15,1,7,0,5,0.306,0.37,0.49,0.86
Brady Clark\clarkbr02,/97,11,11,1,3,0,2,0,0,0.273,0.273,0.364,0.636
Tony Clark#\clarkto02,3/D,60,208,32,57,13,37,0,24,0.274,0.349,0.529,0.878
Will Clark*\clarkwi02,*3/D,130,427,78,136,21,70,5,69,0.319,0.418,0.546,0.964
Will Clark*\clarkwi02,3/D,79,256,49,77,9,28,4,47,0.301,0.413,0.473,0.886
Will Clark*\clarkwi02,3,51,171,29,59,12,42,1,22,0.345,0.426,0.655,1.081
Royce Clayton\claytro01,*6,148,513,70,124,14,54,11,42,0.242,0.301,0.384,0.685
Roger Clemens\clemero02,1,1,3,0,0,0,0,0,0,0,0,0,0
Matt Clement\clemema01,1,31,60,3,4,0,2,0,4,0.067,0.125,0.1,0.225
Edgard Clemente\clemeed02,79D/8,46,78,4,17,0,5,0,0,0.218,0.228,0.244,0.471
Brad Clontz\clontbr01,/1,5,0,1,0,0,0,0,0,,1,,
Ivanon Coffie*\coffiiv01,5/6D,23,60,6,13,0,6,1,5,0.217,0.284,0.317,0.6
Dave Coggin\coggida01,/1,4,7,0,0,0,0,0,0,0,0,0,0
Greg Colbrunn\colbrgr01,3/D5,116,329,48,103,15,57,0,43,0.313,0.405,0.523,0.928
Lou Collier\collilo01,/875,14,32,9,7,1,2,0,6,0.219,0.333,0.344,0.677
Bartolo Colon\colonba01,1,2,5,0,0,0,0,0,0,0,0,0,0
David Cone*\coneda01,1,1,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Jeff Conine\coninje01,53D9/7,119,409,53,116,13,46,4,36,0.284,0.341,0.438,0.779
Jason Conti*\contija01,32021,47,91,11,21,1,15,3,7,0.231,0.293,0.374,0.667
Dennis Cook*\cookde01,1,63,0,0,0,0,0,0,0,,,,
Ron Coomer\coomero01,*3/D5,140,544,64,147,16,82,2,36,0.27,0.317,0.415,0.733
Brian Cooper\coopebr01,1,2,4,0,0,0,0,0,0,0,0,0,0
Trace Coquillette\coquitr01,5/479,34,59,6,12,1,8,0,7,0.203,0.284,0.322,0.606
Alex Cora*\coraal01,42890,109,353,39,84,4,32,4,26,0.238,0.302,0.357,0.658
Francisco Cordero\cordefr01,1,7,0,0,0,0,0,0,0,,,,
Wil Cordero\cordewi01,*7/D,127,496,64,137,16,68,1,32,0.276,0.328,0.464,0.792
Wil Cordero\cordewi01,7/D,89,348,46,98,16,51,1,25,0.282,0.336,0.506,0.842
Wil Cordero\cordewi01,7,38,148,18,39,0,17,0,7,0.264,0.31,0.365,0.675
Francisco Cordova\cordofr01,1,17,35,0,4,0,3,0,2,0.114,0.162,0.114,0.276
Marty Cordova\cordoma01,79D,62,200,23,49,4,18,3,18,0.245,0.317,0.34,0.657
Rheal Cormier*\cormirh01,1,4,0,0,0,0,0,0,0,,,,
Reid Cornelius\cornere01,1,21,37,1,5,0,1,0,0,0.135,0.135,0.189,0.324
Craig Counsell*\counscr01,45/6,67,152,23,48,2,11,3,20,0.316,0.4,0.421,0.821
Steve Cox*\coxst01,973D,116,318,44,90,11,35,1,45,0.283,0.379,0.453,0.832
Tim Crabtree\crabtti01,1,5,0,0,0,0,0,0,0,,,,
Joe Crede\credejo01,/5D,7,14,2,5,0,3,0,0,0.357,0.333,0.429,0.762
Doug Creek*\creekdo01,1,3,0,0,0,0,0,0,0,,,,
Felipe Crespo#\crespfe01,73/94D,89,131,17,38,4,29,3,10,0.29,0.351,0.443,0.794
D.T. Cromer*\cromed.01,3,35,47,7,16,2,8,0,1,0.34,0.36,0.553,0.913
Tripp Cromer\crometr01,/546,9,8,2,1,0,0,0,1,0.125,0.222,0.125,0.347
Rich Croushore\crousri01,1,6,1,0,1,0,0,0,0,1,1,1,2
Rich Croushore\crousri01,/1,6,1,0,1,0,0,0,0,1,1,1,2
Deivi Cruz\cruzde01,*6,156,583,68,176,10,82,1,13,0.302,0.318,0.449,0.767
Ivan Cruz*\cruziv01,/3,8,11,0,1,0,0,0,0,0.091,0.091,0.091,0.182
Jacob Cruz*\cruzja01,/8D7,11,29,3,7,0,5,1,5,0.241,0.361,0.345,0.706
Jose Cruz#\cruzjo02,*8,162,603,91,146,31,76,15,71,0.242,0.323,0.466,0.789
Nelson Cruz\cruzne01,1,1,1,0,0,0,0,0,0,0,0,0,0
Darwin Cubillan\cubilda01,1,2,1,0,0,0,0,0,0,0,0,0,0
Darwin Cubillan\cubilda01,/1,2,1,0,0,0,0,0,0,0,0,0,0
Midre Cummings*\cummimi01,9D/78,98,206,29,57,4,24,0,17,0.277,0.341,0.383,0.724
Midre Cummings*\cummimi01,9D/7,77,181,28,50,4,22,0,11,0.276,0.328,0.398,0.726
Midre Cummings*\cummimi01,/98D,21,25,1,7,0,2,0,6,0.28,0.419,0.28,0.699
Will Cunnane\cunnawi01,1,27,7,0,1,0,0,0,0,0.143,0.143,0.286,0.429
Chad Curtis\curtich01,79D,108,335,48,91,8,48,3,37,0.272,0.343,0.424,0.767
Jeff D'Amico\d'amije02,1,3,0,0,0,0,0,0,0,,,,
Jeff D'Amico\d'amije01,/1,22,44,2,4,1,2,0,3,0.091,0.146,0.182,0.328
Omar Daal*\daalom01,1,30,45,3,12,1,6,0,4,0.267,0.327,0.4,0.727
Omar Daal*\daalom01,1,18,27,2,7,1,4,0,1,0.259,0.286,0.407,0.693
Omar Daal*\daalom01,1,12,18,1,5,0,2,0,3,0.278,0.381,0.389,0.77
Johnny Damon*\damonjo01,*87D,159,655,136,214,16,88,46,65,0.327,0.382,0.495,0.877
Vic Darensbourg*\darenvi01,1,53,8,0,2,0,0,0,0,0.25,0.25,0.25,0.5
Mike Darr*\darrmi02,98/7,58,205,21,55,1,30,9,23,0.268,0.342,0.39,0.732
Brian Daubach*\daubabr01,3D/759,142,495,55,123,21,76,1,44,0.248,0.315,0.448,0.764
