Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Rafael Bournigal\bournra01,42890,79,222,29,62,1,20,2,16,0.279,0.339,0.333,0.672
Darren Bragg*\braggda01,*89/57,153,513,65,132,9,57,10,61,0.257,0.337,0.386,0.723
Mark Brandenburg\brandma01,1,2,0,0,0,0,0,0,0,,,,
Jeff Branson*\bransje01,456/D,94,170,14,34,3,12,1,14,0.2,0.262,0.306,0.568
Jeff Branson*\bransje01,546,65,98,9,15,1,5,1,7,0.153,0.21,0.235,0.444
Jeff Branson*\bransje01,4/56D,29,72,5,19,2,7,0,7,0.264,0.329,0.403,0.732
Jeff Brantley\brantje01,1,13,0,0,0,0,0,0,0,,,,
Brent Brede*\bredebr01,93/7D,61,190,25,52,3,21,7,21,0.274,0.347,0.389,0.737
Billy Brewer*\brewebi01,1,23,1,0,0,0,0,0,0,0,0,0,0
Billy Brewer*\brewebi01,1,23,1,0,0,0,0,0,0,0,0,0,0
Tilson Brito\britoti01,456,66,172,17,41,2,14,1,10,0.238,0.285,0.314,0.599
Tilson Brito\britoti01,45/6,49,126,9,28,0,8,1,9,0.222,0.281,0.246,0.527
Tilson Brito\britoti01,23498,17,46,8,13,2,6,0,1,0.283,0.298,0.5,0.798
Doug Brocail*\brocado01,1,3,0,0,0,0,0,0,0,,,,
Chris Brock\brockch01,/1,7,10,0,1,0,1,0,0,0.1,0.1,0.1,0.2
Rico Brogna*\brognri01,*3,148,543,68,137,20,81,12,33,0.252,0.293,0.433,0.726
Scott Brosius\brosisc01,569/87,129,479,59,97,11,41,9,34,0.203,0.259,0.317,0.576
Adrian Brown#\brownad01,42956,48,147,17,28,1,10,8,13,0.19,0.273,0.252,0.524
Brant Brown*\brownbr01,73,46,137,15,32,5,15,2,7,0.234,0.286,0.409,0.694
Emil Brown\brownem01,32690,66,95,16,17,2,6,5,10,0.179,0.304,0.284,0.588
Kevin Brown\brownke01,1,31,72,4,9,0,4,0,5,0.125,0.182,0.139,0.321
Kevin Brown\brownke04,/2,4,5,1,2,1,1,0,0,0.4,0.4,1,1.4
Jacob Brumfield\brumfja01,879/D,58,174,22,36,2,20,4,14,0.207,0.268,0.282,0.55
Jim Bruske\bruskji01,1,26,6,0,1,0,0,0,0,0.167,0.167,0.333,0.5
Damon Buford\buforda01,*8/D,122,366,49,82,8,39,18,30,0.224,0.287,0.339,0.626
Jay Buhner\buhneja01,*9/D,157,540,104,131,40,109,0,119,0.243,0.383,0.506,0.889
Jim Bullinger\bulliji01,1,35,43,2,9,1,2,0,0,0.209,0.209,0.302,0.512
Dave Burba\burbada01,1,30,46,2,9,0,2,0,1,0.196,0.245,0.196,0.441
John Burke#\burkejo04,1,17,19,1,3,0,0,0,0,0.158,0.158,0.158,0.316
John Burkett\burkejo03,1,2,5,1,1,0,0,0,0,0.2,0.2,0.2,0.4
Ellis Burks\burksel01,*87,119,424,91,123,32,82,7,47,0.29,0.363,0.571,0.934
Jeromy Burnitz*\burnije01,*98/7,153,494,85,139,27,85,20,75,0.281,0.382,0.553,0.934
Terry Burrows*\burrote01,1,13,0,0,0,0,0,0,0,,,,
Mike Busby\busbymi01,/1,3,4,0,2,0,0,0,0,0.5,0.5,0.5,1
Homer Bush\bushho01,/4D,10,11,2,4,0,3,0,0,0.364,0.364,0.364,0.727
Brett Butler*\butlebr01,87/D,105,343,52,97,0,18,15,42,0.283,0.363,0.324,0.686
Rich Butler*\butleri01,/7D,7,14,3,4,0,2,0,2,0.286,0.375,0.357,0.732
Rob Butler*\butlero01,35643,43,89,10,26,0,13,1,5,0.292,0.326,0.416,0.742
Paul Byrd\byrdpa01,1,31,7,0,1,0,1,0,0,0.143,0.143,0.143,0.286
Jose Cabrera\cabrejo01,1,12,2,0,0,0,0,0,0,0,0,0,0
Orlando Cabrera\cabreor01,/64,16,18,4,4,0,2,1,1,0.222,0.263,0.222,0.485
Greg Cadaret*\cadargr01,1,2,0,0,0,0,0,0,0,,,,
Miguel Cairo\cairomi01,/46,16,29,7,7,0,1,0,2,0.241,0.313,0.276,0.588
Mike Cameron\camermi01,*89/D,116,379,63,98,14,55,23,55,0.259,0.356,0.433,0.789
Ken Caminiti#\caminke01,*5,137,486,92,141,26,90,11,80,0.29,0.389,0.508,0.897
Casey Candaele#\candaca01,/45D,14,26,5,8,0,4,1,1,0.308,0.333,0.346,0.679
Tom Candiotti\candito01,1,41,32,0,3,0,2,0,1,0.094,0.121,0.094,0.215
John Cangelosi#\cangejo01,78/91,103,192,28,47,1,12,5,19,0.245,0.321,0.302,0.623
Jose Canseco\cansejo01,D97,108,388,56,91,23,74,8,51,0.235,0.325,0.461,0.786
Dan Carlson\carlsda01,/1,6,3,0,0,0,0,0,0,0,0,0,0
Chuck Carr#\carrch02,8/D7,89,238,37,59,4,17,12,17,0.248,0.305,0.374,0.679
Chuck Carr#\carrch02,8/D,26,46,3,6,0,0,1,2,0.13,0.184,0.196,0.379
Chuck Carr#\carrch02,42954,63,192,34,53,4,17,11,15,0.276,0.333,0.417,0.75
Giovanni Carrara\carragi01,/1,2,2,0,0,0,0,0,0,0,0,0,0
Hector Carrasco\carrahe01,1,38,0,0,0,0,0,0,0,,,,
Hector Carrasco\carrahe01,1,37,0,0,0,0,0,0,0,,,,
Hector Carrasco\carrahe01,1,1,0,0,0,0,0,0,0,,,,
Joe Carter\cartejo01,D379,157,612,76,143,21,102,8,40,0.234,0.284,0.399,0.683
Raul Casanova#\casanra01,2/D,101,304,27,74,5,24,1,26,0.243,0.308,0.332,0.641
Sean Casey*\caseyse01,/D3,6,10,1,2,0,1,0,1,0.2,0.333,0.2,0.533
Larry Casian\casiala01,1,14,1,0,0,0,0,0,0,0,0,0,0
Larry Casian\casiala01,1,12,1,0,0,0,0,0,0,0,0,0,0
Larry Casian\casiala01,1,2,0,0,0,0,0,0,0,,,,
Vinny Castilla\castivi02,*5,159,612,94,186,40,113,2,44,0.304,0.356,0.547,0.904
Alberto Castillo\castial01,2,35,59,3,12,0,7,0,9,0.203,0.304,0.22,0.525
Carlos Castillo\castica02,1,2,1,0,1,0,0,0,0,1,1,1,2
Frank Castillo\castifr01,1,34,58,1,7,0,5,0,1,0.121,0.133,0.121,0.254
Frank Castillo\castifr01,1,20,33,1,5,0,3,0,0,0.152,0.152,0.152,0.303
Frank Castillo\castifr01,1,14,25,0,2,0,2,0,1,0.08,0.111,0.08,0.191
Luis Castillo#\castilu01,4,75,263,27,63,0,8,16,27,0.24,0.31,0.27,0.58
Tony Castillo*\castito02,1,5,1,0,0,0,0,0,0,0,0,0,0
Juan Castro\castrju01,64/5,40,75,3,11,0,4,0,7,0.147,0.22,0.213,0.433
Frank Catalanotto*\catalfr01,/4D,13,26,2,8,0,3,0,3,0.308,0.379,0.385,0.764
Mike Cather\cathemi01,1,34,1,0,0,0,0,0,0,0,0,0,0
Domingo Cedeno#\cedendo01,46/5D,113,365,49,103,4,36,3,27,0.282,0.334,0.4,0.734
Roger Cedeno#\cedenro01,87/9,80,194,31,53,3,17,9,25,0.273,0.362,0.392,0.753
Norm Charlton#\charlno01,1,4,0,0,0,0,0,0,0,,,,
Raul Chavez\chavera01,2,13,26,0,7,0,2,1,0,0.269,0.259,0.269,0.528
Jason Christiansen\chrisja01,1,38,0,0,0,0,0,0,0,,,,
Archi Cianfrocco\cianfar01,354/69,89,220,25,54,4,26,7,25,0.245,0.328,0.355,0.683
Jeff Cirillo\cirilje01,*5/D,154,580,74,167,10,82,4,60,0.288,0.367,0.426,0.793
Dave Clark*\clarkda05,7/D9,102,143,19,43,5,32,1,19,0.301,0.386,0.462,0.847
Mark Clark\clarkma01,1,31,66,3,2,1,3,0,4,0.03,0.086,0.076,0.161
Mark Clark\clarkma01,1,22,43,1,2,1,2,0,2,0.047,0.089,0.116,0.205
Mark Clark\clarkma01,/1,9,23,2,0,0,1,0,2,0,0.08,0,0.08
Terry Clark\clarkte01,1,1,1,0,1,0,0,0,0,1,1,1,2
Terry Clark\clarkte01,/1,1,1,0,1,0,0,0,0,1,1,1,2
Tony Clark#\clarkto02,*3/D,159,580,105,160,32,117,1,93,0.276,0.376,0.5,0.876
Will Clark*\clarkwi02,3/D,110,393,56,128,12,51,0,49,0.326,0.4,0.496,0.896
Royce Clayton\claytro01,*6,154,576,75,153,9,61,30,33,0.266,0.306,0.398,0.704
Roger Clemens\clemero02,1,1,2,1,1,0,0,0,1,0.5,0.667,1,1.667
Brad Clontz\clontbr01,1,50,1,0,0,0,0,0,0,0,0,0,0
Ken Cloude\cloudke01,1,1,2,0,0,0,0,0,0,0,0,0,0
Danny Clyburn\clybuda01,/7,2,3,0,0,0,0,0,0,0,0,0,0
Greg Colbrunn\colbrgr01,3/D,98,271,27,76,7,35,1,10,0.28,0.309,0.421,0.729
Greg Colbrunn\colbrgr01,3/D,70,217,24,61,5,26,1,8,0.281,0.307,0.415,0.722
Greg Colbrunn\colbrgr01,3/D,28,54,3,15,2,9,0,2,0.278,0.316,0.444,0.76
Michael Coleman\colemmi01,/8,8,24,2,4,0,2,1,0,0.167,0.167,0.208,0.375
Vince Coleman#\colemvi01,/78D,6,14,0,1,0,0,0,1,0.071,0.133,0.071,0.205
Darnell Coles\colesda01,/57,21,22,1,7,1,2,0,0,0.318,0.348,0.5,0.848
Lou Collier\collilo01,6,18,37,3,5,0,3,1,1,0.135,0.158,0.135,0.293
Bartolo Colon\colonba01,1,1,1,0,0,0,0,0,0,0,0,0,0
David Cone*\coneda01,1,1,3,0,0,0,0,0,0,0,0,0,0
Jeff Conine\coninje01,*3/7,151,405,46,98,17,61,2,57,0.242,0.337,0.405,0.742
Dennis Cook*\cookde01,1,59,9,2,5,1,2,0,0,0.556,0.556,0.889,1.444
Steve Cooke\cookest01,1,32,52,2,3,0,1,0,0,0.058,0.058,0.077,0.135
Ron Coomer\coomero01,*5/3D9,140,523,63,156,13,85,4,22,0.298,0.324,0.438,0.761
Scott Cooper*\coopesc01,5/3D,75,159,12,32,3,15,1,17,0.201,0.283,0.308,0.592
Joey Cora#\corajo01,*4,149,574,105,172,11,54,6,53,0.3,0.359,0.441,0.8
Wil Cordero\cordewi01,*7/D4,140,570,82,160,18,72,1,31,0.281,0.32,0.432,0.752
Francisco Cordova\cordofr01,1,28,56,2,5,0,0,0,4,0.089,0.15,0.089,0.239
Marty Cordova\cordoma01,7/D,103,378,44,93,15,51,5,30,0.246,0.305,0.434,0.739
Rheal Cormier*\cormirh01,/1,1,0,0,0,0,0,0,0,,,,
Jim Corsi\corsiji01,1,2,0,0,0,0,0,0,0,,,,
Craig Counsell*\counscr01,4,52,164,20,49,1,16,1,18,0.299,0.376,0.396,0.773
Craig Counsell*\counscr01,,1,0,0,0,0,0,0,0,,,,
Craig Counsell*\counscr01,4,51,164,20,49,1,16,1,18,0.299,0.376,0.396,0.773
Tim Crabtree\crabtti01,1,2,0,0,0,0,0,0,0,,,,
Joe Crawford*\crawfjo01,1,18,11,0,0,0,0,0,0,0,0,0,0
Doug Creek*\creekdo01,/1,3,3,1,1,0,0,0,0,0.333,0.333,0.333,0.667
Felipe Crespo#\crespfe01,/5D4,12,28,3,8,1,5,0,2,0.286,0.333,0.464,0.798
Tripp Cromer\crometr01,46/5,28,86,8,25,4,20,0,6,0.291,0.333,0.465,0.798
Jim Crowell*\croweji01,/1,2,2,0,0,0,0,0,0,0,0,0,0
Deivi Cruz\cruzde01,*6,147,436,35,105,2,40,3,14,0.241,0.263,0.314,0.577
Ivan Cruz*\cruziv01,/D37,11,20,0,5,0,3,0,2,0.25,0.318,0.3,0.618
Jacob Cruz*\cruzja01,42985,16,25,3,4,0,3,0,3,0.16,0.241,0.2,0.441
Jose Cruz#\cruzjo02,42924,104,395,59,98,26,68,7,41,0.248,0.315,0.499,0.814
Jose Cruz#\cruzjo02,7,49,183,28,49,12,34,1,13,0.268,0.315,0.541,0.856
Jose Cruz#\cruzjo02,42924,55,212,31,49,14,34,6,28,0.231,0.316,0.462,0.778
Nelson Cruz\cruzne01,1,1,0,0,0,0,0,0,0,,,,
Midre Cummings*\cummimi01,879,115,314,35,83,4,31,2,31,0.264,0.33,0.411,0.741
Midre Cummings*\cummimi01,79,52,106,11,20,3,8,0,8,0.189,0.252,0.368,0.62
Midre Cummings*\cummimi01,42956,63,208,24,63,1,23,2,23,0.303,0.369,0.433,0.802
Will Cunnane\cunnawi01,1,52,14,4,5,0,4,0,2,0.357,0.438,0.5,0.938
Chad Curtis\curtich01,*78/9,115,349,59,99,15,55,12,43,0.284,0.362,0.481,0.843
Chad Curtis\curtich01,35643,22,29,8,6,3,5,0,7,0.207,0.361,0.552,0.913
Chad Curtis\curtich01,78/9,93,320,51,93,12,50,12,36,0.291,0.362,0.475,0.837
Jeff D'Amico\d'amije01,1,2,4,0,0,0,0,0,0,0,0,0,0
Omar Daal*\daalom01,1,32,5,0,1,0,1,0,0,0.2,0.2,0.2,0.4
Omar Daal*\daalom01,1,32,5,0,1,0,1,0,0,0.2,0.2,0.2,0.4
Johnny Damon*\damonjo01,*879/D,146,472,70,130,8,48,16,42,0.275,0.338,0.386,0.723
Danny Darwin\darwida01,1,11,18,0,2,0,2,0,0,0.111,0.111,0.167,0.278
Danny Darwin\darwida01,1,2,3,0,0,0,0,0,0,0,0,0,0
Danny Darwin\darwida01,1,9,15,0,2,0,2,0,0,0.133,0.133,0.2,0.333
Jeff Darwin\darwije01,1,2,0,0,0,0,0,0,0,,,,
Darren Daulton*\daultda01,93/D7,136,395,68,104,14,63,6,76,0.263,0.378,0.463,0.841
Darren Daulton*\daultda01,9/D3,84,269,46,71,11,42,4,54,0.264,0.381,0.48,0.86
Darren Daulton*\daultda01,3/9D7,52,126,22,33,3,21,2,22,0.262,0.371,0.429,0.799
Chili Davis#\davisch01,*D,140,477,71,133,30,90,6,85,0.279,0.386,0.509,0.896
Eric Davis\daviser01,9D,42,158,29,48,8,25,6,14,0.304,0.358,0.525,0.883
Russ Davis\davisru01,*5/D,119,420,57,114,20,63,6,27,0.271,0.317,0.488,0.805
Rick DeHart*\deharri01,1,23,2,0,0,0,0,0,0,0,0,0,0
Mike DeJean\dejeami01,1,52,3,0,1,0,0,0,0,0.333,0.333,0.667,1
Carlos Delgado*\delgaca01,*3D,153,519,79,136,30,91,0,64,0.262,0.35,0.528,0.878
Wilson Delgado#\delgawi01,/46,8,7,1,1,0,0,0,0,0.143,0.143,0.286,0.429
David Dellucci*\delluda01,/9D7,17,27,3,6,1,3,0,4,0.222,0.344,0.37,0.714
Rich DeLucia\delucri01,1,3,0,0,0,0,0,0,0,,,,
Rich DeLucia\delucri01,/1,3,0,0,0,0,0,0,0,,,,
Delino DeShields*\deshide01,*4,150,572,92,169,11,58,55,55,0.295,0.357,0.448,0.804
Elmer Dessens\desseel01,/1,3,0,0,0,0,0,0,0,,,,
Mike Devereaux\devermi01,28734,29,72,8,15,0,7,1,7,0.208,0.275,0.25,0.525
Alex Diaz#\diazal01,9/734,28,90,8,20,2,12,1,5,0.222,0.268,0.333,0.601
Eddy Diaz\diazed02,20546,16,50,4,11,0,7,0,1,0.22,0.235,0.3,0.535
Einar Diaz\diazei01,/2,5,7,1,1,0,1,0,0,0.143,0.143,0.286,0.429
Jason Dickson*\dicksja01,1,1,2,0,0,0,0,0,0,0,0,0,0
Mike Difelice\difelmi01,42769,93,260,16,62,4,30,1,19,0.238,0.297,0.331,0.628
Jerry Dipoto\dipotje01,1,70,9,0,1,0,0,0,0,0.111,0.111,0.111,0.222
Gary Disarcina\disarga01,*6,154,549,52,135,4,47,7,17,0.246,0.271,0.326,0.597
Doug Drabek\drabedo01,1,2,1,1,0,0,0,0,0,0,0,0,0
Darren Dreifort\dreifda01,1,46,7,0,1,0,0,0,0,0.143,0.143,0.143,0.286
Rob Ducey*\duceyro01,798,76,143,25,41,5,10,3,6,0.287,0.311,0.524,0.836
Mariano Duncan\duncama01,4/7D,89,339,36,80,1,25,6,12,0.236,0.268,0.286,0.554
Mariano Duncan\duncama01,4/7D,50,172,16,42,1,13,2,6,0.244,0.27,0.308,0.578
